config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",mean_val_zeta,5,0.4934979796,0.4947603047,0.00126232504,-0.01503941043,0.01756406051,0.01630173547,0.214994053,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",embedding_val_zeta,5,0.4506115456,0.448143665,-0.002467880646,-0.01613605273,0.01120029144,0.01366817208,-0.5013058879,1,4,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",embedding_whole_val_regularization_raw,5,0.2517406,0.117497,-0.1342436,-0.1642075099,-0.1042796901,0.02996390992,-12.43896364,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",frozen_decoder_r2_mean,5,0.8921122074,0.8950591326,0.002946925163,-0.0003155274846,0.006209377811,0.003262452648,2.507921747,4,1,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",frozen_decoder_rmse_mean,5,78.75356445,77.71165924,-1.041905212,-2.222097293,0.1382868685,1.180192081,-2.451120181,1,4,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",finetuned_decoder_r2_mean,5,0.9085499406,0.9099754214,0.001425480843,-0.001346556744,0.004197518429,0.002772037587,1.427747346,3,2,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=1",finetuned_decoder_rmse_mean,5,72.534552,71.96986237,-0.5646896362,-1.666839684,0.537460412,1.102150048,-1.422519356,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",mean_val_zeta,5,0.4934979796,0.1488914222,-0.3446065575,-0.3712633379,-0.317949777,0.02665678046,-35.89260117,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",embedding_val_zeta,5,0.4506115456,0.3847127199,-0.06589882572,-0.1047599668,-0.02703768468,0.03886114104,-4.70816006,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",embedding_whole_val_regularization_raw,5,0.2517406,0.0029276,-0.248813,-0.2758606402,-0.2217653598,0.02704764018,-25.54069898,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",frozen_decoder_r2_mean,5,0.8921122074,0.8823479891,-0.00976421833,-0.01047355065,-0.009054886008,0.0007093323222,-38.21878031,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",frozen_decoder_rmse_mean,5,78.75356445,82.32510376,3.571539307,3.330249134,3.81282948,0.2412901729,41.09650512,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",finetuned_decoder_r2_mean,5,0.9085499406,0.9091437578,0.000593817234,-0.001443224929,0.002630859397,0.002037042163,0.8093602492,3,2,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=10",finetuned_decoder_rmse_mean,5,72.534552,72.32418823,-0.2103637695,-0.9985195003,0.5777919613,0.7881557308,-0.7410508297,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",mean_val_zeta,5,0.4934979796,0.3377571821,-0.1557407975,-0.1737207742,-0.1377608208,0.01797997671,-24.04929561,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",embedding_val_zeta,5,0.4506115456,0.4304546462,-0.02015689943,-0.05249004514,0.01217624629,0.03233314572,-1.730871634,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=2",embedding_whole_val_regularization_raw,5,0.2517406,0.0315262,-0.2202144,-0.2498270103,-0.1906017897,0.02961261034,-20.64705495,0,5,0,0;1;2;3;4
