lambda_start_frac,lambda_block_cca,dimension,antisymmetric_planes,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1.0,2.0,128,-1,frozen_decoder_test_balanced_accuracy,5,0.4975013905,0.4602196545,0.5347831266,0.03728173605
1.0,2.0,128,-1,frozen_decoder_test_macro_f1,5,0.498698228,0.4612015376,0.5361949185,0.03749669048
1.0,5.0,128,-1,embedding_val_zeta,5,0.307521402,0.3012791615,0.3137636425,0.00624224048
1.0,5.0,128,-1,embedding_val_mean_plane_zeta,5,0.3002075021,0.2937529895,0.3066620147,0.006454512597
1.0,5.0,128,-1,checkpoint_score,5,0.3002075021,0.2937529895,0.3066620147,0.006454512597
1.0,5.0,128,-1,validation_zeta,5,0.3075214,0.3012790975,0.3137637025,0.006242302505
1.0,5.0,128,-1,validation_loss,5,-0.124741,-0.168235183,-0.08124681697,0.04349418303
1.0,5.0,128,-1,regularization_whole_batch_total_raw,5,0.001515,0.0009644875736,0.002065512426,0.0005505124264
1.0,5.0,128,-1,checkpoint_regularization_lambda,5,5,5,5,0
1.0,5.0,128,-1,frozen_decoder_accuracy,5,0.5654636985,0.5434372107,0.5874901864,0.02202648783
1.0,5.0,128,-1,frozen_decoder_balanced_accuracy,5,0.5657337325,0.5422682691,0.5891991959,0.02346546338
1.0,5.0,128,-1,frozen_decoder_macro_f1,5,0.564402059,0.539848314,0.588955804,0.02455374501
1.0,5.0,128,-1,frozen_decoder_best_val_acc,5,0.565463686,0.5434371771,0.5874901949,0.02202650892
1.0,5.0,128,-1,frozen_decoder_best_val_ce,5,1.315876698,1.243690351,1.388063046,0.07218634744
1.0,5.0,128,-1,frozen_decoder_test_accuracy,5,0.5161399296,0.4296557211,0.602624138,0.08648420849
1.0,5.0,128,-1,frozen_decoder_test_balanced_accuracy,5,0.5160961976,0.4296375559,0.6025548393,0.08645864168
1.0,5.0,128,-1,frozen_decoder_test_macro_f1,5,0.5122783572,0.4254283179,0.5991283965,0.0868500393
