embedding_dim,feature_layer,model,metric,n,mean,ci95_low,ci95_high,ci95_half_width
256,hidden,finetuned_mlp,mse_y,5,5800.0326171875,5757.767697821671,5842.297536553329,42.2649193658289
256,hidden,finetuned_mlp,r2_mean,5,0.9060721158981323,0.9053497820949076,0.906794449701357,0.0007223338032247616
256,hidden,finetuned_mlp,r2_x,5,0.9223318815231323,0.9206205805715414,0.9240431824747232,0.0017113009515908994
256,hidden,finetuned_mlp,r2_y,5,0.8898123383522034,0.8890093932238596,0.8906152834805472,0.0008029451283437844
256,hidden,finetuned_mlp,rmse_mean,5,73.60634155273438,73.28357092687799,73.92911217859077,0.32277062585639316
256,hidden,finetuned_mlp,rmse_x,5,70.95897979736328,70.18012228960181,71.73783730512476,0.7788575077614723
256,hidden,finetuned_mlp,rmse_y,5,76.15768280029297,75.88000185233757,76.43536374824838,0.27768094795539794
256,hidden,frozen_mlp,best_val_mse_z,5,0.11125542968511581,0.110196582082896,0.11231427728733563,0.001058847602219812
256,hidden,frozen_mlp,corr_x,5,0.9526357763284906,0.9517977925879934,0.9534737600689879,0.0008379837404972975
256,hidden,frozen_mlp,corr_y,5,0.9326280475005057,0.9312586270689207,0.9339974679320906,0.001369420431584929
256,hidden,frozen_mlp,mse_x,5,6019.64619140625,5900.435575421217,6138.856807391283,119.21061598503293
256,hidden,frozen_mlp,mse_y,5,6898.59443359375,6697.473454860224,7099.715412327277,201.12097873352627
256,hidden,frozen_mlp,r2_mean,5,0.8880471229553223,0.886962384961639,0.8891318609490055,0.0010847379936832198
256,hidden,frozen_mlp,r2_x,5,0.9071521520614624,0.905313430395423,0.9089908737275018,0.001838721666039402
256,hidden,frozen_mlp,r2_y,5,0.86894211769104,0.8651212785990142,0.8727629567830658,0.003820839092025754
256,hidden,frozen_mlp,rmse_mean,5,80.36910400390624,80.06805505039054,80.67015295742195,0.30104895351570354
256,hidden,frozen_mlp,rmse_x,5,77.58439483642579,76.81448002306533,78.35430964978625,0.7699148133604619
256,hidden,frozen_mlp,rmse_y,5,83.05322723388672,81.84616805546197,84.26028641231146,1.207059178424737
256,output,finetuned_mlp,best_val_mse_z,5,0.09059171974658965,0.08981718128912589,0.09136625820405342,0.0007745384574637638
256,output,finetuned_mlp,corr_x,5,0.9613882967253691,0.9609562785114865,0.9618203149392517,0.0004320182138826204
256,output,finetuned_mlp,corr_y,5,0.9457772913713214,0.9450814873328439,0.9464730954097988,0.0006958040384774912
256,output,finetuned_mlp,mse_x,5,4937.76103515625,4872.108441096355,5003.413629216145,65.65259405989504
256,output,finetuned_mlp,mse_y,5,5585.64912109375,5508.402475689347,5662.8957664981535,77.24664540440308
256,output,finetuned_mlp,r2_mean,5,0.9088622331619263,0.9080896027454016,0.9096348635784509,0.0007726304165246828
256,output,finetuned_mlp,r2_x,5,0.9238392949104309,0.9228266442807056,0.9248519455401563,0.0010126506297253766
256,output,finetuned_mlp,r2_y,5,0.8938851475715637,0.8924176358471503,0.8953526592959771,0.0014675117244133693
256,output,finetuned_mlp,rmse_mean,5,72.53841552734374,72.23815500901836,72.83867604566913,0.300260518325389
256,output,finetuned_mlp,rmse_x,5,70.26839447021484,69.8006972513581,70.73609168907159,0.46769721885674065
256,output,finetuned_mlp,rmse_y,5,74.73627166748047,74.21927713199807,75.25326620296286,0.5169945354824017
256,output,frozen_mlp,best_val_mse_z,5,0.11283110678195954,0.11157977181279802,0.11408244175112106,0.001251334969161527
256,output,frozen_mlp,corr_x,5,0.9520125150239421,0.9510626783409571,0.9529623517069271,0.0009498366829850207
256,output,frozen_mlp,corr_y,5,0.9314468691473319,0.9302676783113316,0.9326260599833321,0.0011791908360002522
256,output,frozen_mlp,mse_x,5,6096.394921875,5978.014977072733,6214.774866677268,118.37994480226745
256,output,frozen_mlp,mse_y,5,7003.2173828125,6868.747175456343,7137.687590168656,134.4702073561564
256,output,frozen_mlp,r2_mean,5,0.8864614367485046,0.8851992568969306,0.8877236166000787,0.0012621798515740517
256,output,frozen_mlp,r2_x,5,0.9059683680534363,0.9041424641739615,0.9077942719329111,0.0018259038794748055
256,output,frozen_mlp,r2_y,5,0.8669545173645019,0.8643998676212223,0.8695091671077815,0.0025546497432796154
256,output,frozen_mlp,rmse_mean,5,80.93134002685547,80.49155260030378,81.37112745340715,0.43978742655169356
256,output,frozen_mlp,rmse_x,5,78.0775161743164,77.32163973543977,78.83339261319303,0.7558764388766323
256,output,frozen_mlp,rmse_y,5,83.68322296142578,82.87866548539787,84.4877804374537,0.8045574760279025
512,hidden,finetuned_mlp,best_val_mse_z,5,0.09170651882886886,0.09099309429507699,0.09241994336266074,0.0007134245337918791
512,hidden,finetuned_mlp,corr_x,5,0.960571159351133,0.9601229944579145,0.9610193242443515,0.00044816489321856365
512,hidden,finetuned_mlp,corr_y,5,0.9455185131219433,0.9444009947658835,0.9466360314780032,0.0011175183560598787
512,hidden,finetuned_mlp,mse_x,5,5042.21767578125,4952.769598389695,5131.665753172806,89.4480773915558
512,hidden,finetuned_mlp,mse_y,5,5617.76171875,5502.491867789718,5733.031569710282,115.26985096028245
512,hidden,finetuned_mlp,r2_mean,5,0.9077516078948975,0.9070277312852225,0.9084754845045725,0.0007238766096749931
512,hidden,finetuned_mlp,r2_x,5,0.9222281455993653,0.9208484870300482,0.9236078041686824,0.0013796585693171422
512,hidden,finetuned_mlp,r2_y,5,0.8932750821113586,0.8910851881753598,0.8954649760473575,0.0021898939359988366
512,hidden,finetuned_mlp,rmse_mean,5,73.00777740478516,72.75237622389716,73.26317858567316,0.25540118088799396
512,hidden,finetuned_mlp,rmse_x,5,71.00713653564453,70.37968636038846,71.6345867109006,0.627450175256069
512,hidden,finetuned_mlp,rmse_y,5,74.94967956542969,74.18014505469002,75.71921407616937,0.769534510739678
512,hidden,frozen_mlp,best_val_mse_z,5,0.10920190662145615,0.10861607316114263,0.10978774008176967,0.0005858334603135163
512,hidden,frozen_mlp,corr_x,5,0.9540143023553268,0.9534413965718522,0.9545872081388014,0.0005729057834745268
512,hidden,frozen_mlp,corr_y,5,0.933500804273512,0.9328182430409975,0.9341833655060265,0.0006825612325145166
512,hidden,frozen_mlp,mse_x,5,5853.605859375,5766.372593237535,5940.839125512466,87.23326613746534
512,hidden,frozen_mlp,mse_y,5,6816.596875,6763.796289181823,6869.397460818177,52.800585818177105
512,hidden,frozen_mlp,r2_mean,5,0.8901065349578857,0.8895207891092007,0.8906922808065707,0.0005857458486849483
512,hidden,frozen_mlp,r2_x,5,0.9097131848335266,0.90836768791971,0.9110586817473432,0.0013454969138166036
512,hidden,frozen_mlp,r2_y,5,0.8704998850822449,0.869496778382504,0.8715029917819856,0.0010031066997407943
512,hidden,frozen_mlp,rmse_mean,5,79.5938705444336,79.3615554710561,79.82618561781109,0.23231507337749888
512,hidden,frozen_mlp,rmse_x,5,76.50775909423828,75.93767417766853,77.07784401080804,0.5700849165697559
512,hidden,frozen_mlp,rmse_y,5,82.56236267089844,82.24243365650204,82.88229168529483,0.3199290143963875
