embedding_dim,seed,run_name,output_dir,model,embedder_init,feature_layer,feature_dim,mse_x,mse_y,rmse_x,rmse_y,rmse_mean,r2_x,r2_y,r2_mean,corr_x,corr_y,best_val_mse_z
128,1,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed1_100ms,finetuned_mlp,pretrained,output,128,4883.55810546875,5432.41259765625,69.88246154785156,73.70490264892578,71.82011413574219,0.9246753454208374,0.8967962861061096,0.9107358455657959,0.9617238049158312,0.9472749536299893,0.0887540231148402
128,1,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed1_100ms,frozen_mlp,pretrained,output,128,6059.01708984375,6789.40087890625,77.83969116210938,82.39781951904297,80.152099609375,0.9065448641777039,0.8710165619850159,0.8887807130813599,0.952238291798022,0.9333395204496995,0.11053666472434998
128,2,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed2_100ms_hidden,finetuned_mlp,pretrained,hidden,256,5033.70849609375,5499.466796875,70.9486312866211,74.15838623046875,72.57239532470703,0.9223594069480896,0.89552241563797,0.9089409112930298,0.9607111661810035,0.9464977407498251,0.09052584071954091
128,2,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed2_100ms_hidden,frozen_mlp,pretrained,hidden,256,5851.0732421875,6621.2470703125,76.4923095703125,81.37104797363281,78.9700698852539,0.9097522497177124,0.8742110729217529,0.8919816613197327,0.9542204732991502,0.9355565613122016,0.10735058784484863
128,2,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed2_100ms,finetuned_mlp,pretrained,output,128,4873.22412109375,5500.97509765625,69.80847930908203,74.1685562133789,72.02276611328125,0.9248347282409668,0.895493745803833,0.9101642370223999,0.961805327742231,0.9463276445733554,0.08929803553554747
128,2,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed2_100ms,frozen_mlp,pretrained,output,128,5985.5634765625,6776.45166015625,77.36642456054688,82.31920623779297,79.88221740722656,0.9076778292655945,0.8712625503540039,0.8894702196121216,0.952735979981014,0.9334192220916859,0.10984720289707184
128,3,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed3_100ms_hidden,finetuned_mlp,pretrained,hidden,256,4872.71142578125,5586.49951171875,69.8048095703125,74.74288940429688,72.31719207763672,0.9248425960540771,0.8938689827919006,0.9093557596206665,0.9617632467902317,0.9459539935398106,0.09010473555988735
128,3,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed3_100ms_hidden,frozen_mlp,pretrained,hidden,256,5808.0556640625,6452.677734375,76.21060180664062,80.32855987548828,78.29741668701172,0.910415768623352,0.8774135112762451,0.8939146399497986,0.9542007974797602,0.9367073211735973,0.10543736815452576
128,3,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed3_100ms,finetuned_mlp,pretrained,output,128,4911.42724609375,5499.14990234375,70.08157348632812,74.15625,72.14877319335938,0.9242454767227173,0.8955284357070923,0.9098869562149048,0.9613821715825565,0.9465333882874348,0.0895774977074729
128,3,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed3_100ms,frozen_mlp,pretrained,output,128,6121.5166015625,6798.80224609375,78.24011993408203,82.45484924316406,80.37606811523438,0.9055808782577515,0.870837926864624,0.8882094025611877,0.9520077734403918,0.933255507036268,0.11110837012529373
128,4,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed4_100ms_hidden,finetuned_mlp,pretrained,hidden,256,4987.5966796875,5436.83056640625,70.62291717529297,73.73486328125,72.19684600830078,0.9230706095695496,0.8967123627662659,0.9098914861679077,0.9609247729728934,0.947062235663381,0.08957932144403458
128,4,20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1,mcmaze/runs/20260713_093632_d128_h256_dep2_bs64_ep100_lr1e-03_lxp0.0_lbt0.0_lcca1.0_sig10.0_s1/outputs/velocity_prediction_finetune_dim128_seed4_100ms_hidden,frozen_mlp,pretrained,hidden,256,6023.98583984375,6539.8115234375,77.61434173583984,80.86910247802734,79.2589340209961,0.9070852398872375,0.875758171081543,0.8914216756820679,0.952599412655623,0.9358598170649602,0.10792412608861923
